Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,75.849998,79.260002,75.580002,78.820000,76.957863,468500
2019-01-03,78.940002,79.089996,77.120003,78.080002,76.235352,423400
2019-01-04,79.370003,81.099998,79.180000,80.949997,79.037537,458300
2019-01-07,81.349998,82.849998,80.500000,82.269997,80.326347,549000
2019-01-08,83.389999,83.650002,82.430000,82.970001,81.009819,417500
2019-01-09,83.980003,84.580002,83.250000,84.279999,82.288864,339800
2019-01-10,83.650002,84.570000,83.139999,84.489998,82.493904,273300
2019-01-11,84.000000,84.220001,83.199997,83.959999,81.976425,204100
2019-01-14,83.180000,84.099998,83.010002,83.730003,81.751869,248300
2019-01-15,84.269997,84.790001,83.680000,84.150002,82.161942,299200
2019-01-16,84.019997,84.709999,83.779999,84.019997,82.035011,228800
2019-01-17,83.419998,85.129997,83.199997,84.779999,82.777054,269200
2019-01-18,85.860001,86.510002,85.279999,86.489998,84.446655,351600
2019-01-22,85.559998,85.650002,84.220001,84.360001,82.366982,556100
2019-01-23,84.669998,84.769997,82.900002,83.480003,81.507774,360900
2019-01-24,83.320000,84.699997,82.949997,84.000000,82.015488,262400
2019-01-25,84.620003,85.620003,84.620003,85.139999,83.128548,285100
2019-01-28,83.970001,84.250000,83.279999,84.239998,82.249809,345800
2019-01-29,84.730003,85.050003,84.459999,84.489998,82.493904,339000
2019-01-30,85.139999,86.050003,84.570000,85.750000,83.724136,521000
2019-01-31,86.080002,86.639999,85.529999,86.139999,84.104927,710400
2019-02-01,86.839996,88.139999,86.739998,87.580002,85.510910,470600
2019-02-04,87.089996,87.870003,86.370003,87.870003,85.794060,382400
2019-02-05,87.849998,88.150002,87.480003,87.879997,85.803810,328700
2019-02-06,87.459999,87.739998,87.160004,87.230003,85.169174,339200
2019-02-07,86.610001,86.919998,84.400002,85.160004,83.148087,397600
2019-02-08,84.959999,85.099998,83.300003,84.760002,82.757530,351100
2019-02-11,84.339996,85.330002,84.099998,85.250000,83.235947,211600
2019-02-12,86.400002,86.849998,85.959999,86.300003,84.261139,298200
2019-02-13,86.730003,88.110001,86.730003,87.419998,85.354683,352700
2019-02-14,87.110001,88.419998,87.010002,87.779999,85.706177,307200
2019-02-15,88.550003,89.300003,88.550003,89.279999,87.170738,377100
2019-02-19,88.879997,89.970001,88.750000,89.620003,87.502716,517600
2019-02-20,89.489998,90.449997,89.489998,90.040001,87.912788,1780600
2019-02-21,89.790001,89.879997,88.209999,88.540001,86.448227,299500
2019-02-22,89.199997,89.400002,88.419998,88.809998,86.711845,259900
2019-02-25,88.419998,89.250000,88.419998,88.889999,86.789955,381000
2019-02-26,88.839996,89.339996,88.440002,88.489998,86.399399,298800
2019-02-27,88.919998,89.779999,88.400002,88.860001,86.760674,252800
2019-02-28,88.959999,89.129997,87.449997,88.010002,85.930740,149700
2019-03-01,88.449997,89.629997,88.449997,89.610001,87.492943,708400
2019-03-04,89.959999,90.199997,88.449997,89.820000,87.697990,243400
2019-03-05,90.019997,90.019997,88.879997,89.540001,87.424606,268200
2019-03-06,88.900002,88.900002,87.779999,88.220001,86.135780,407700
2019-03-07,88.330002,88.650002,87.370003,87.709999,85.637840,648700
2019-03-08,86.320000,86.320000,85.220001,85.940002,83.909653,374200
2019-03-11,86.580002,87.570000,86.519997,87.360001,85.296097,236100
2019-03-12,87.709999,88.529999,87.669998,88.089996,86.008850,174100
2019-03-13,88.639999,89.120003,88.360001,89.059998,86.955933,109100
2019-03-14,89.169998,89.650002,89.089996,89.169998,87.063339,440600
2019-03-15,88.790001,89.360001,88.790001,89.040001,86.936417,229700
2019-03-18,89.250000,90.550003,89.250000,90.449997,88.313103,165700
2019-03-19,90.860001,91.320000,89.779999,90.099998,87.971367,229000
2019-03-20,90.010002,91.849998,89.809998,91.050003,88.898926,238500
2019-03-21,90.190002,91.150002,89.980003,91.029999,89.535301,263200
2019-03-22,90.290001,90.300003,88.070000,88.449997,86.997665,301000
2019-03-25,88.099998,88.540001,87.500000,88.389999,86.938652,232900
2019-03-26,89.500000,90.370003,89.199997,89.709999,88.236977,226500
2019-03-27,89.669998,89.989998,88.389999,89.099998,87.636993,172900
2019-03-28,88.669998,89.570000,88.500000,89.440002,87.971413,175900
2019-03-29,90.360001,90.540001,89.110001,89.379997,87.912392,132500
2019-04-01,89.989998,90.760002,89.940002,90.629997,89.141869,235700
2019-04-02,90.790001,90.910004,89.779999,89.959999,88.482872,274600
2019-04-03,90.320000,90.389999,88.739998,89.000000,87.538635,205000
2019-04-04,89.050003,89.849998,88.650002,89.820000,88.345177,213000
2019-04-05,90.089996,91.529999,90.000000,91.480003,89.977913,261000
